"Slug",":draft","Title","Logo","Logo:alt","Content"
"linstow","true","Linstow","https://framerusercontent.com/images/AlyPf2zfLaRb4jn5MFawp08HfnA.png","",""
"oslo-kommune","true","Oslo Kommune","https://framerusercontent.com/images/NofoENeht0Swilfl3nB37GFVqoM.png","",""
"helsedirektoratet","true","Helsedirektoratet","https://framerusercontent.com/images/bMAAJ0voh3NwyWRKsG3Q2aiP40g.png","",""
"utdanningsdirektoratet","true","Utdanningsdirektoratet","https://framerusercontent.com/images/D3DsTUBFkbZsCsKFedLKDMeT3nM.png","",""
